Region,Notificados,Confirmados,Fecha
Arica y Parinacota,91,2,3/23/2020
Tarapacá,176,4,3/23/2020
Antofagasta,238,13,3/23/2020
Atacama,95,1,3/23/2020
Coquimbo,214,11,3/23/2020
Valparaíso,757,25,3/23/2020
Santiago,5861,540,3/23/2020
O’Higgins,202,9,3/23/2020
Maule,563,29,3/23/2020
Ñuble,691,105,3/23/2020
Biobío,745,73,3/23/2020
Araucanía,439,59,3/23/2020
Los Ríos,185,6,3/23/2020
Los Lagos,340,36,3/23/2020
Aysén,21,1,3/23/2020
Magallanes,150,8,3/23/2020
Arica y Parinacota,121,2,3/24/2020
Tarapacá,201,3,3/24/2020
Antofagasta,289,19,3/24/2020
Atacama,103,1,3/24/2020
Coquimbo,258,12,3/24/2020
Valparaíso,978,31,3/24/2020
Santiago,7054,627,3/24/2020
O’Higgins,256,12,3/24/2020
Maule,677,30,3/24/2020
Ñuble,777,101,3/24/2020
Biobío,917,63,3/24/2020
Araucanía,525,59,3/24/2020
Los Ríos,216,5,3/24/2020
Los Lagos,402,35,3/24/2020
Aysén,25,1,3/24/2020
Magallanes,183,11,3/24/2020
Arica y Parinacota,140,2,3/25/2020
Tarapacá,230,3,3/25/2020
Antofagasta,373,21,3/25/2020
Atacama,117,1,3/25/2020
Coquimbo,290,13,3/25/2020
Valparaíso,1196,41,3/25/2020
Santiago,8451,783,3/25/2020
O’Higgins,339,11,3/25/2020
Maule,762,31,3/25/2020
Ñuble,888,106,3/25/2020
Biobío,1123,73,3/25/2020
Araucanía,662,95,3/25/2020
Los Ríos,264,9,3/25/2020
Los Lagos,519,45,3/25/2020
Aysén,28,2,3/25/2020
Magallanes,221,16,3/25/2020
Arica y Parinacota,169,3,3/26/2020
Tarapacá,258,3,3/26/2020
Antofagasta,452,21,3/26/2020
Atacama,128,1,3/26/2020
Coquimbo,340,14,3/26/2020
Valparaíso,1392,48,3/26/2020
Santiago,10337,903,3/26/2020
O’Higgins,392,12,3/26/2020
Maule,875,32,3/26/2020
Ñuble,970,114,3/26/2020
Biobío,1350,81,3/26/2020
Araucanía,785,116,3/26/2020
Los Ríos,326,15,3/26/2020
Los Lagos,597,51,3/26/2020
Aysén,32,2,3/26/2020
Magallanes,260,18,3/26/2020
Arica y Parinacota,214,5,3/27/2020
Tarapacá,276,4,3/27/2020
Antofagasta,532,25,3/27/2020
Atacama,144,1,3/27/2020
Coquimbo,375,15,3/27/2020
Valparaíso,1610,72,3/27/2020
Santiago,12244,1038,3/27/2020
O’Higgins,443,13,3/27/2020
Maule,1060,41,3/27/2020
Ñuble,1021,143,3/27/2020
Biobío,1616,89,3/27/2020
Araucanía,945,160,3/27/2020
Los Ríos,383,15,3/27/2020
Los Lagos,700,77,3/27/2020
Aysén,35,2,3/27/2020
Magallanes,307,23,3/27/2020
Arica y Parinacota,241,6,3/29/2020
Tarapacá,331,5,3/29/2020
Antofagasta,613,35,3/29/2020
Atacama,163,2,3/29/2020
Coquimbo,435,27,3/29/2020
Valparaíso,1844,99,3/29/2020
Santiago,14342,1215,3/29/2020
O’Higgins,496,16,3/29/2020
Maule,1190,57,3/29/2020
Ñuble,1159,164,3/29/2020
Biobío,1937,93,3/29/2020
Araucanía,1108,205,3/29/2020
Los Ríos,523,15,3/29/2020
Los Lagos,828,112,3/29/2020
Aysén,36,2,3/29/2020
Magallanes,430,35,3/29/2020